CORES,COUNTY,county_fips,,
001,ALAMANCE,37001,,
002,ALEXANDER,37003,,
003,ALLEGHANY,37005,,
004,ANSON,37007,,
005,ASHE ,37009,,
006,AVERY   ,37011,,
007,BEAUFORT,37013,,
008,BERTIE,37015,,
009,BLADEN,37017,,
010,BRUNSWICK,37019,,
011,BUNCOMBE,37021,,
012,BURKE ,37023,,
013,CABARRUS,37025,,
014,CALDWELL,37027,,
015,CAMDEN,37029,,
016,CARTERET,37031,,
017,CASWELL,37033,,
018,CATAWBA,37035,,
019,CHATHAM,37037,,
020,CHEROKEE,37039,,
021,CHOWAN,37041,,
022,CLAY,37043,,
023,CLEVELAND,37045,,
024,COLUMBUS,37047,,
025,CRAVEN,37049,,
026,CUMBERLAND,37051,,
027,CURRITUCK,37053,,
028,DARE,37055,,
029,DAVIDSON,37057,,
030,DAVIE ,37059,,
031,DUPLIN,37061,,
032,DURHAM ,37063,,
033,EDGECOMBE,37065,,
034,FORSYTH,37067,,
035,FRANKLIN ,37069,,
036,GASTON  ,37071,,
037,GATES,37073,,
038,GRAHAM,37075,,
039,GRANVILLE,37077,,
040,GREENE ,37079,,
041,GUILFORD,37081,,
042,HALIFAX,37083,,
043,HARNETT,37085,,
044,HAYWOOD,37087,,
045,HENDERSON ,37089,,
046,HERTFORD,37091,,
047,HOKE,37093,,
048,HYDE,37095,,
049,IREDELL,37097,,
050,JACKSON,37099,,
051,JOHNSTON,37101,,
052,JONES,37103,,
053,LEE,37105,,
054,LENOIR,37107,,
055,LINCOLN ,37109,,
056,McDOWELL,37111,,
057,MACON,37113,,
058,MADISON,37115,,
059,MARTIN,37117,,
060,MECKLENBURG,37119,,
061,MITCHELL,37121,,
062,MONTGOMERY,37123,,
063,MOORE  ,37125,,
064,NASH ,37127,,
065,NEW HANOVER,37129,,
066,NORTHAMPTON,37131,,
067,ONSLOW,37133,,
068,ORANGE,37135,,
069,PAMLICO,37137,,
070,PASQUOTANK,37139,,
071,PENDER,37141,,
072,PERQUIMANS,37143,,
073,PERSON,37145,,
074,PITT,37147,,
075,POLK,37149,,
076,RANDOLPH,37151,,
077,RICHMOND,37153,,
078,ROBESON,37155,,
079,ROCKINGHAM,37157,,
080,ROWAN,37159,,
081,RUTHERFORD ,37161,,
082,SAMPSON,37163,,
083,SCOTLAND,37165,,
084,STANLY,37167,,
085,STOKES,37169,,
086,SURRY,37171,,
087,SWAIN,37173,,
088,TRANSYLVANIA,37175,,
089,TYRRELL,37177,,
090,UNION,37179,,
091,VANCE,37181,,
092,WAKE  ,37183,,
093,WARREN ,37185,,
094,WASHINGTON,37187,,
095,WATAUGA,37189,,
096,WAYNE,37191,,
097,WILKES  ,37193,,
098,WILSON,37195,,
099,YADKIN  ,37197,,
100,YANCEY ,37199,,
