ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
0,"Total",2020,"2020",51580,1749,"Alamance County, NC","05000US37001","alamance-county-nc"
0,"Total",2020,"2020",51329,3341,"Alexander County, NC","05000US37003","alexander-county-nc"
0,"Total",2020,"2020",37158,5049,"Alleghany County, NC","05000US37005","alleghany-county-nc"
0,"Total",2020,"2020",39799,5189,"Anson County, NC","05000US37007","anson-county-nc"
0,"Total",2020,"2020",43030,2327,"Ashe County, NC","05000US37009","ashe-county-nc"
0,"Total",2020,"2020",42695,3551.0000000000005,"Avery County, NC","05000US37011","avery-county-nc"
0,"Total",2020,"2020",48051,3675,"Beaufort County, NC","05000US37013","beaufort-county-nc"
0,"Total",2020,"2020",35042,3090,"Bertie County, NC","05000US37015","bertie-county-nc"
0,"Total",2020,"2020",37188,4231,"Bladen County, NC","05000US37017","bladen-county-nc"
0,"Total",2020,"2020",59763,1672,"Brunswick County, NC","05000US37019","brunswick-county-nc"
0,"Total",2020,"2020",55032,1434,"Buncombe County, NC","05000US37021","buncombe-county-nc"
0,"Total",2020,"2020",43915,1890,"Burke County, NC","05000US37023","burke-county-nc"
0,"Total",2020,"2020",71177,2377,"Cabarrus County, NC","05000US37025","cabarrus-county-nc"
0,"Total",2020,"2020",46094,2305,"Caldwell County, NC","05000US37027","caldwell-county-nc"
0,"Total",2020,"2020",63834,2912,"Camden County, NC","05000US37029","camden-county-nc"
0,"Total",2020,"2020",57871,2532,"Carteret County, NC","05000US37031","carteret-county-nc"
0,"Total",2020,"2020",47938,4528,"Caswell County, NC","05000US37033","caswell-county-nc"
0,"Total",2020,"2020",54690,1791.0000000000002,"Catawba County, NC","05000US37035","catawba-county-nc"
0,"Total",2020,"2020",69799,4161,"Chatham County, NC","05000US37037","chatham-county-nc"
0,"Total",2020,"2020",40793,2333,"Cherokee County, NC","05000US37039","cherokee-county-nc"
0,"Total",2020,"2020",44050,6104,"Chowan County, NC","05000US37041","chowan-county-nc"
0,"Total",2020,"2020",42160,5900,"Clay County, NC","05000US37043","clay-county-nc"
0,"Total",2020,"2020",43512,1898,"Cleveland County, NC","05000US37045","cleveland-county-nc"
