"","County","Race","Predicted"
"1","ROBESON","Black",14.2472920632069
"2","PASQUOTANK","Black",13.4354093918111
"3","BUNCOMBE","Black",12.2099880214878
"4","LENOIR","Black",12.2847290985491
"5","CRAVEN","Black",13.1437813226202
"6","MECKLENBURG","Black",10.8170064515594
"7","CABARRUS","Black",12.9377953354691
"8","ROCKINGHAM","Black",13.6441161823907
"9","BRUNSWICK","Black",11.9778044367338
"10","ANSON","Black",13.7909540604134
"11","IREDELL","Black",14.4138084626676
"12","BURKE","Black",13.6554937570807
"13","ALAMANCE","Black",13.460375694675
"14","McDOWELL","Black",13.5858976412523
"15","DURHAM","Black",11.6471133433027
"16","LINCOLN","Black",13.5526681579541
"17","WAKE","Black",11.0287575141544
"18","ROWAN","Black",13.0953278301724
"19","STANLY","Black",13.8864773979534
"20","DARE","Black",12.9751881314015
"21","AVERY","Black",13.6301744656462
"22","MONTGOMERY","Black",12.91454037064
"23","CHOWAN","Black",13.4166260235442
"24","PERQUIMANS","Black",13.0329520654766
"25","FORSYTH","Black",12.6664210364454
"26","VANCE","Black",12.1174157704072
"27","DAVIDSON","Black",14.5909636759618
"28","GUILFORD","Black",12.2036016497737
"29","JOHNSTON","Black",13.7888682431756
"30","SCOTLAND","Black",13.2933321946828
"31","SURRY","Black",13.3907283436287
"32","COLUMBUS","Black",13.6405425661056
"33","NEW HANOVER","Black",11.4509351601026
"34","UNION","Black",12.383182346744
"35","RANDOLPH","Black",14.0962394454248
"36","PENDER","Black",13.7597728851507
"37","ONSLOW","Black",13.9464309963325
"38","WAYNE","Black",13.1764028588118
"39","GASTON","Black",13.567737706469
"40","CHATHAM","Black",14.0248791298263
"41","LEE","Black",12.9453642598307
"42","CLEVELAND","Black",13.4449290724417
"43","PITT","Black",13.5998929335707
"44","NASH","Black",12.9476536068918
"45","CALDWELL","Black",13.8491590146042
"46","ORANGE","Black",12.6439376961643
"47","GREENE","Black",12.7973165125371
"48","EDGECOMBE","Black",12.8258297266047
"49","WILSON","Black",14.7018489794827
"50","SAMPSON","Black",12.9697956904672
"51","WILKES","Black",13.4411002911246
"52","HAYWOOD","Black",14.2884538135028
"53","RUTHERFORD","Black",13.3941359931576
"54","HARNETT","Black",13.2942599390395
"55","CUMBERLAND","Black",14.3798543390882
"56","HOKE","Black",14.2861865780131
"57","YANCEY","Black",13.2586488007955
"58","HENDERSON","Black",13.6577463741412
"59","TRANSYLVANIA","Black",13.0705762925605
"60","PERSON","Black",12.91318170627
"61","STOKES","Black",12.8292935055445
"62","FRANKLIN","Black",14.2595715353876
"63","MOORE","Black",13.1345162254824
"64","ASHE","Black",13.2012018945763
"65","GRANVILLE","Black",13.0909887769681
"66","RICHMOND","Black",13.6745955207676
"67","DAVIE","Black",13.4308505473965
"68","BEAUFORT","Black",14.4727085891957
"69","MARTIN","Black",12.8877054730364
"70","BERTIE","Black",13.9314674273764
"71","MACON","Black",13.5300030860034
"72","WATAUGA","Black",13.5451034722483
"73","CARTERET","Black",13.3141875853858
"74","CURRITUCK","Black",12.8034542047414
"75","HALIFAX","Black",13.3275175617524
"76","MADISON","Black",13.162089765746
"77","HERTFORD","Black",13.7235314352753
"78","CATAWBA","Black",15.1206060044127
"79","CAMDEN","Black",13.1064539276943
"80","DUPLIN","Black",15.1748821066047
"81","JACKSON","Black",14.1069114760064
"82","PAMLICO","Black",13.4029572110707
"83","WARREN","Black",13.3110991098213
"84","SWAIN","Black",13.2439044380927
"85","ALEXANDER","Black",12.9318211280157
"86","CLAY","Black",13.751467189563
"87","CASWELL","Black",13.1182149835874
"88","ALLEGHANY","Black",13.3957321765443
"89","POLK","Black",13.3139489487038
"90","WASHINGTON","Black",13.5180673132484
"91","JONES","Black",13.0744013264317
"92","NORTHAMPTON","Black",12.7407445199071
"93","TYRRELL","Black",13.1862950230926
"94","HYDE","Black",13.47580606846
"95","GATES","Black",13.3558968733286
"96","MITCHELL","Black",13.0132614937273
"97","CHEROKEE","Black",13.4802345589729
"98","GRAHAM","Black",13.1468812107259
"99","ROBESON","White",6.37478214745657
"100","PASQUOTANK","White",6.00878026694707
"101","BUNCOMBE","White",5.4569826631517
"102","LENOIR","White",5.49061629801402
"103","CRAVEN","White",5.87739374736256
"104","MECKLENBURG","White",4.83065289114831
"105","CABARRUS","White",5.78461722393965
"106","ROCKINGHAM","White",6.10283481704385
"107","BRUNSWICK","White",5.35251753652432
"108","ANSON","White",6.16902107910802
"109","IREDELL","White",6.44988997453767
"110","BURKE","White",6.10796279893383
"111","ALAMANCE","White",6.02003027290217
"112","McDOWELL","White",6.07659618620251
"113","DURHAM","White",5.2037783263348
"114","LINCOLN","White",6.06162069125929
"115","WAKE","White",4.92580012011873
"116","ROWAN","White",5.85556826620939
"117","STANLY","White",6.21208347884055
"118","DARE","White",5.80145742766615
"119","AVERY","White",6.0965512409211
"120","MONTGOMERY","White",5.77414448361375
"121","CHOWAN","White",6.0003165458176
"122","PERQUIMANS","White",5.82747335520175
"123","FORSYTH","White",5.66242234393347
"124","VANCE","White",5.41532886644966
"125","DAVIDSON","White",6.5298118737716
"126","GUILFORD","White",5.45410891359014
"127","JOHNSTON","White",6.16808083366902
"128","SCOTLAND","White",5.94476519280117
"129","SURRY","White",5.98864743246152
"130","COLUMBUS","White",6.1012241674493
"131","NEW HANOVER","White",5.11556674646353
"132","UNION","White",5.53492475425811
"133","RANDOLPH","White",6.30666144277935
"134","PENDER","White",6.15496544697189
"135","ONSLOW","White",6.23911321683402
"136","WAYNE","White",5.89208852012204
"137","GASTON","White",6.06841199912223
"138","CHATHAM","White",6.27448385406271
"139","LEE","White",5.7880259045622
"140","CLEVELAND","White",6.01306987031693
"141","PITT","White",6.0829035962086
"142","NASH","White",5.78905692240361
"143","CALDWELL","White",6.19525961566178
