"Year","County","Race","Rate"
2011,"ALAMANCE","B",5.88235294117647
2011,"ALAMANCE","H",2.77777777777778
2011,"ALAMANCE","N",0
2011,"ALAMANCE","O",0
2011,"ALAMANCE","W",8.66738894907909
2011,"ALEXANDER","B",76.9230769230769
2011,"ALEXANDER","H",0
2011,"ALEXANDER","N",0
2011,"ALEXANDER","O",0
2011,"ALEXANDER","W",3.55871886120996
2011,"ALLEGHANY","H",0
2011,"ALLEGHANY","W",0
2011,"ANSON","B",0
2011,"ANSON","H",0
2011,"ANSON","N",0
2011,"ANSON","O",0
2011,"ANSON","W",10.3092783505155
2011,"ASHE","B",0
2011,"ASHE","H",0
2011,"ASHE","W",0
2011,"AVERY","B",0
2011,"AVERY","H",0
2011,"AVERY","O",0
2011,"AVERY","W",24.390243902439
2011,"BEAUFORT","B",13.2450331125828
2011,"BEAUFORT","H",0
2011,"BEAUFORT","N",0
2011,"BEAUFORT","W",4.0650406504065
2011,"BERTIE","B",0
2011,"BERTIE","H",0
2011,"BERTIE","N",0
2011,"BERTIE","O",0
2011,"BERTIE","W",0
2011,"BRUNSWICK","B",7.2992700729927
2011,"BRUNSWICK","H",0
2011,"BRUNSWICK","N",0
2011,"BRUNSWICK","O",0
2011,"BRUNSWICK","W",8.89453621346887
2011,"BUNCOMBE","B",5.0251256281407
2011,"BUNCOMBE","H",3.87596899224806
2011,"BUNCOMBE","N",0
2011,"BUNCOMBE","O",0
2011,"BUNCOMBE","W",5.44015825914936
2011,"BURKE","B",22.7272727272727
2011,"BURKE","H",9.80392156862745
2011,"BURKE","N",0
2011,"BURKE","O",0
2011,"BURKE","W",7.65696784073507
2011,"CABARRUS","B",2.76243093922652
2011,"CABARRUS","H",4.92610837438424
2011,"CABARRUS","N",0
2011,"CABARRUS","O",0
2011,"CABARRUS","W",4.90883590462833
2011,"CALDWELL","B",0
2011,"CALDWELL","H",13.5135135135135
2011,"CALDWELL","N",0
2011,"CALDWELL","O",0
2011,"CALDWELL","W",5.88235294117647
2011,"CAMDEN","B",0
2011,"CAMDEN","H",0
2011,"CAMDEN","O",0
2011,"CAMDEN","W",22.2222222222222
2011,"CARTERET","B",0
2011,"CARTERET","H",21.7391304347826
2011,"CARTERET","N",0
2011,"CARTERET","O",0
2011,"CARTERET","W",5.75815738963532
2011,"CASWELL","B",38.4615384615385
2011,"CASWELL","H",0
2011,"CASWELL","W",16
2011,"CATAWBA","B",16.1290322580645
2011,"CATAWBA","H",10.6382978723404
2011,"CATAWBA","N",0
2011,"CATAWBA","O",0
2011,"CATAWBA","W",2.55536626916525
2011,"CHATHAM","B",0
2011,"CHATHAM","H",10
2011,"CHATHAM","O",0
2011,"CHATHAM","W",8.24175824175824
2011,"CHEROKEE","B",0
2011,"CHEROKEE","H",0
2011,"CHEROKEE","N",285.714285714286
2011,"CHEROKEE","O",0
2011,"CHEROKEE","W",5.05050505050505
2011,"CHOWAN","B",37.037037037037
2011,"CHOWAN","H",0
2011,"CHOWAN","W",0
2011,"CLAY","H",0
2011,"CLAY","O",0
2011,"CLAY","W",16.3934426229508
2011,"CLEVELAND","B",23.3333333333333
2011,"CLEVELAND","H",0
2011,"CLEVELAND","N",0
2011,"CLEVELAND","O",0
2011,"CLEVELAND","W",8.48656294200849
2011,"COLUMBUS","B",12.6050420168067
2011,"COLUMBUS","H",0
2011,"COLUMBUS","N",0
2011,"COLUMBUS","O",0
2011,"COLUMBUS","W",9.1743119266055
2011,"CRAVEN","B",9.61538461538462
2011,"CRAVEN","H",6.06060606060606
2011,"CRAVEN","N",0
2011,"CRAVEN","O",0
2011,"CRAVEN","W",7.48362956033676
2011,"CUMBERLAND","B",9.9304865938431
2011,"CUMBERLAND","H",3.70828182941904
2011,"CUMBERLAND","N",9.1743119266055
2011,"CUMBERLAND","O",0
2011,"CUMBERLAND","W",6.86106346483705
2011,"CURRITUCK","B",0
2011,"CURRITUCK","H",0
2011,"CURRITUCK","O",0
2011,"CURRITUCK","W",22.9885057471264
2011,"DARE","B",0
2011,"DARE","H",19.2307692307692
2011,"DARE","N",0
2011,"DARE","O",0
2011,"DARE","W",0
2011,"DAVIDSON","B",5.78034682080925
2011,"DAVIDSON","H",0
2011,"DAVIDSON","N",0
2011,"DAVIDSON","O",0
2011,"DAVIDSON","W",6.28436763550668
2011,"DAVIE","B",0
2011,"DAVIE","H",0
2011,"DAVIE","O",0
2011,"DAVIE","W",9.96677740863787
2011,"DUPLIN","B",5.37634408602151
2011,"DUPLIN","H",0
2011,"DUPLIN","N",0
2011,"DUPLIN","O",0
2011,"DUPLIN","W",6.28930817610063
2011,"DURHAM","B",13.0813953488372
2011,"DURHAM","H",3.2258064516129
2011,"DURHAM","N",0
2011,"DURHAM","O",0
2011,"DURHAM","W",3.77595972309629
2011,"EDGECOMBE","B",6.8649885583524
2011,"EDGECOMBE","H",0
2011,"EDGECOMBE","O",0
2011,"EDGECOMBE","W",18.0722891566265
2011,"FORSYTH","B",17.1606864274571
2011,"FORSYTH","H",6.92383778437191
2011,"FORSYTH","N",0
2011,"FORSYTH","O",0
2011,"FORSYTH","W",7.96999531176746
2011,"FRANKLIN","B",12.7388535031847
2011,"FRANKLIN","H",0
2011,"FRANKLIN","N",0
2011,"FRANKLIN","O",0
2011,"FRANKLIN","W",7.44416873449132
2011,"GASTON","B",8.35073068893528
2011,"GASTON","H",0
2011,"GASTON","N",0
2011,"GASTON","O",25.6410256410256
2011,"GASTON","W",4.54029511918275
2011,"GATES","B",0
2011,"GATES","H",0
2011,"GATES","N",0
2011,"GATES","W",0
2011,"GRAHAM","B",0
2011,"GRAHAM","H",0
2011,"GRAHAM","N",0
2011,"GRAHAM","W",0
2011,"GRANVILLE","B",0
2011,"GRANVILLE","H",28.169014084507
2011,"GRANVILLE","N",0
2011,"GRANVILLE","O",0
2011,"GRANVILLE","W",6.55737704918033
2011,"GREENE","B",13.1578947368421
2011,"GREENE","H",0
2011,"GREENE","N",0
2011,"GREENE","W",11.6279069767442
2011,"GUILFORD","B",12.8369704749679
2011,"GUILFORD","H",6.83060109289617
2011,"GUILFORD","N",0
2011,"GUILFORD","O",0
2011,"GUILFORD","W",3.94632991318074
2011,"HALIFAX","B",22.7920227920228
2011,"HALIFAX","H",0
2011,"HALIFAX","N",0
2011,"HALIFAX","O",0
2011,"HALIFAX","W",5.98802395209581
2011,"HARNETT","B",14.6198830409357
2011,"HARNETT","H",7.16845878136201
2011,"HARNETT","N",0
2011,"HARNETT","O",0
2011,"HARNETT","W",3.71057513914657
2011,"HAYWOOD","B",0
2011,"HAYWOOD","H",0
2011,"HAYWOOD","N",0
2011,"HAYWOOD","O",0
2011,"HAYWOOD","W",0
2011,"HENDERSON","B",0
2011,"HENDERSON","H",9.85221674876847
2011,"HENDERSON","N",0
2011,"HENDERSON","O",0
2011,"HENDERSON","W",1.26103404791929
2011,"HERTFORD","B",7.19424460431655
2011,"HERTFORD","H",0
2011,"HERTFORD","N",0
2011,"HERTFORD","O",0
2011,"HERTFORD","W",15.625
2011,"HOKE","B",8.62068965517241
2011,"HOKE","H",5.74712643678161
2011,"HOKE","N",13.5135135135135
2011,"HOKE","O",47.6190476190476
2011,"HOKE","W",6.08519269776876
2011,"HYDE","B",125
2011,"HYDE","H",0
2011,"HYDE","W",64.5161290322581
2011,"IREDELL","B",8.29875518672199
2011,"IREDELL","H",5.31914893617021
2011,"IREDELL","N",0
2011,"IREDELL","O",0
2011,"IREDELL","W",3.99680255795364
2011,"JACKSON","B",0
2011,"JACKSON","H",0
2011,"JACKSON","N",0
2011,"JACKSON","O",0
2011,"JACKSON","W",18.1818181818182
2011,"JOHNSTON","B",14.6198830409357
2011,"JOHNSTON","H",6.03621730382294
2011,"JOHNSTON","N",0
2011,"JOHNSTON","O",0
2011,"JOHNSTON","W",3.61271676300578
2011,"JONES","B",78.9473684210526
2011,"JONES","H",0
2011,"JONES","N",0
2011,"JONES","O",1000
2011,"JONES","W",0
2011,"LEE","B",30.8641975308642
2011,"LEE","H",7.8740157480315
2011,"LEE","N",0
2011,"LEE","O",100
2011,"LEE","W",10.3359173126615
2011,"LENOIR","B",3.24675324675325
2011,"LENOIR","H",0
2011,"LENOIR","N",0
2011,"LENOIR","O",0
2011,"LENOIR","W",7.8125
2011,"LINCOLN","B",93.0232558139535
2011,"LINCOLN","H",0
2011,"LINCOLN","N",0
2011,"LINCOLN","O",0
2011,"LINCOLN","W",6.06980273141123
2011,"MACON","B",0
2011,"MACON","H",0
2011,"MACON","N",0
2011,"MACON","O",0
2011,"MACON","W",16.3265306122449
2011,"MADISON","H",0
2011,"MADISON","O",0
2011,"MADISON","W",11.8343195266272
2011,"MARTIN","B",0
2011,"MARTIN","H",0
2011,"MARTIN","N",0
2011,"MARTIN","O",0
2011,"MARTIN","W",0
2011,"McDOWELL","B",0
2011,"McDOWELL","H",0
2011,"McDOWELL","N",0
2011,"McDOWELL","O",0
2011,"McDOWELL","W",7.75193798449612
2011,"MECKLENBURG","B",10.7602339181287
2011,"MECKLENBURG","H",4.68566966028895
2011,"MECKLENBURG","N",0
2011,"MECKLENBURG","O",1.93610842207164
2011,"MECKLENBURG","W",3.48250043531255
2011,"MITCHELL","B",0
2011,"MITCHELL","H",0
2011,"MITCHELL","W",0
2011,"MONTGOMERY","B",32.7868852459016
2011,"MONTGOMERY","H",31.25
2011,"MONTGOMERY","N",0
2011,"MONTGOMERY","O",111.111111111111
2011,"MONTGOMERY","W",0
2011,"MOORE","B",23.6686390532544
2011,"MOORE","H",0
2011,"MOORE","N",0
2011,"MOORE","O",47.6190476190476
2011,"MOORE","W",3.1104199066874
2011,"NASH","B",14.7058823529412
2011,"NASH","H",0
2011,"NASH","N",0
2011,"NASH","O",0
2011,"NASH","W",0
2011,"NEW HANOVER","B",4.72813238770686
2011,"NEW HANOVER","H",4.01606425702811
2011,"NEW HANOVER","N",90.9090909090909
2011,"NEW HANOVER","O",0
2011,"NEW HANOVER","W",3.31564986737401
2011,"NORTHAMPTON","B",8.7719298245614
2011,"NORTHAMPTON","H",0
