"Year","County","Race","Mortality Rate","Births","Deaths"
2011,"ALAMANCE","Black",5.88235294117647,340,2
2011,"ALAMANCE","Hispanic",2.77777777777778,360,1
2011,"ALAMANCE","Native American",0,4,0
2011,"ALAMANCE","Other",0,32,0
2011,"ALAMANCE","White",8.66738894907909,923,8
2011,"ALEXANDER","Black",76.9230769230769,13,1
2011,"ALEXANDER","Hispanic",0,21,0
2011,"ALEXANDER","Native American",0,1,0
2011,"ALEXANDER","Other",0,1,0
2011,"ALEXANDER","White",3.55871886120996,281,1
2011,"ALLEGHANY","Hispanic",0,20,0
2011,"ALLEGHANY","White",0,53,0
2011,"ANSON","Black",0,165,0
2011,"ANSON","Hispanic",0,15,0
2011,"ANSON","Native American",0,1,0
2011,"ANSON","Other",0,3,0
2011,"ANSON","White",10.3092783505155,97,1
2011,"ASHE","Black",0,1,0
2011,"ASHE","Hispanic",0,21,0
2011,"ASHE","White",0,207,0
2011,"AVERY","Black",0,1,0
2011,"AVERY","Hispanic",0,17,0
2011,"AVERY","Other",0,1,0
2011,"AVERY","White",24.390243902439,123,3
2011,"BEAUFORT","Black",13.2450331125828,151,2
2011,"BEAUFORT","Hispanic",0,90,0
2011,"BEAUFORT","Native American",0,1,0
2011,"BEAUFORT","White",4.0650406504065,246,1
2011,"BERTIE","Black",0,138,0
2011,"BERTIE","Hispanic",0,6,0
2011,"BERTIE","Native American",0,1,0
2011,"BERTIE","Other",0,1,0
2011,"BERTIE","White",0,50,0
2011,"BRUNSWICK","Black",7.2992700729927,137,1
2011,"BRUNSWICK","Hispanic",0,98,0
2011,"BRUNSWICK","Native American",0,4,0
2011,"BRUNSWICK","Other",0,10,0
2011,"BRUNSWICK","White",8.89453621346887,787,7
2011,"BUNCOMBE","Black",5.0251256281407,199,1
2011,"BUNCOMBE","Hispanic",3.87596899224806,258,1
2011,"BUNCOMBE","Native American",0,8,0
2011,"BUNCOMBE","Other",0,51,0
2011,"BUNCOMBE","White",5.44015825914936,2022,11
2011,"BURKE","Black",22.7272727272727,44,1
2011,"BURKE","Hispanic",9.80392156862745,102,1
2011,"BURKE","Native American",0,2,0
2011,"BURKE","Other",0,59,0
2011,"BURKE","White",7.65696784073507,653,5
2011,"CABARRUS","Black",2.76243093922652,362,1
2011,"CABARRUS","Hispanic",4.92610837438424,406,2
2011,"CABARRUS","Native American",0,7,0
2011,"CABARRUS","Other",0,78,0
2011,"CABARRUS","White",4.90883590462833,1426,7
2011,"CALDWELL","Black",0,38,0
2011,"CALDWELL","Hispanic",13.5135135135135,74,1
2011,"CALDWELL","Native American",0,1,0
2011,"CALDWELL","Other",0,8,0
2011,"CALDWELL","White",5.88235294117647,680,4
2011,"CAMDEN","Black",0,5,0
2011,"CAMDEN","Hispanic",0,1,0
2011,"CAMDEN","Other",0,3,0
2011,"CAMDEN","White",22.2222222222222,45,1
2011,"CARTERET","Black",0,48,0
2011,"CARTERET","Hispanic",21.7391304347826,46,1
2011,"CARTERET","Native American",0,6,0
2011,"CARTERET","Other",0,7,0
2011,"CARTERET","White",5.75815738963532,521,3
2011,"CASWELL","Black",38.4615384615385,52,2
2011,"CASWELL","Hispanic",0,12,0
2011,"CASWELL","White",16,125,2
2011,"CATAWBA","Black",16.1290322580645,186,3
2011,"CATAWBA","Hispanic",10.6382978723404,282,3
2011,"CATAWBA","Native American",0,5,0
2011,"CATAWBA","Other",0,118,0
2011,"CATAWBA","White",2.55536626916525,1174,3
2011,"CHATHAM","Black",0,71,0
2011,"CHATHAM","Hispanic",10,200,2
2011,"CHATHAM","Other",0,7,0
2011,"CHATHAM","White",8.24175824175824,364,3
2011,"CHEROKEE","Black",0,7,0
2011,"CHEROKEE","Hispanic",0,12,0
2011,"CHEROKEE","Native American",285.714285714286,7,2
2011,"CHEROKEE","Other",0,4,0
2011,"CHEROKEE","White",5.05050505050505,198,1
2011,"CHOWAN","Black",37.037037037037,81,3
2011,"CHOWAN","Hispanic",0,10,0
2011,"CHOWAN","White",0,78,0
2011,"CLAY","Hispanic",0,9,0
2011,"CLAY","Other",0,2,0
2011,"CLAY","White",16.3934426229508,61,1
2011,"CLEVELAND","Black",23.3333333333333,300,7
2011,"CLEVELAND","Hispanic",0,55,0
2011,"CLEVELAND","Native American",0,3,0
2011,"CLEVELAND","Other",0,12,0
2011,"CLEVELAND","White",8.48656294200849,707,6
2011,"COLUMBUS","Black",12.6050420168067,238,3
2011,"COLUMBUS","Hispanic",0,53,0
2011,"COLUMBUS","Native American",0,23,0
2011,"COLUMBUS","Other",0,8,0
2011,"COLUMBUS","White",9.1743119266055,327,3
2011,"CRAVEN","Black",9.61538461538462,312,3
2011,"CRAVEN","Hispanic",6.06060606060606,165,1
2011,"CRAVEN","Native American",0,9,0
2011,"CRAVEN","Other",0,76,0
2011,"CRAVEN","White",7.48362956033676,1069,8
2011,"CUMBERLAND","Black",9.9304865938431,2014,20
2011,"CUMBERLAND","Hispanic",3.70828182941904,809,3
2011,"CUMBERLAND","Native American",9.1743119266055,109,1
2011,"CUMBERLAND","Other",0,165,0
2011,"CUMBERLAND","White",6.86106346483705,2915,20
2011,"CURRITUCK","Black",0,13,0
2011,"CURRITUCK","Hispanic",0,7,0
2011,"CURRITUCK","Other",0,3,0
2011,"CURRITUCK","White",22.9885057471264,87,2
2011,"DARE","Black",0,13,0
2011,"DARE","Hispanic",19.2307692307692,52,1
2011,"DARE","Native American",0,2,0
2011,"DARE","Other",0,7,0
2011,"DARE","White",0,243,0
2011,"DAVIDSON","Black",5.78034682080925,173,1
2011,"DAVIDSON","Hispanic",0,249,0
2011,"DAVIDSON","Native American",0,6,0
2011,"DAVIDSON","Other",0,33,0
2011,"DAVIDSON","White",6.28436763550668,1273,8
2011,"DAVIE","Black",0,24,0
2011,"DAVIE","Hispanic",0,49,0
2011,"DAVIE","Other",0,3,0
2011,"DAVIE","White",9.96677740863787,301,3
2011,"DUPLIN","Black",5.37634408602151,186,1
2011,"DUPLIN","Hispanic",0,279,0
2011,"DUPLIN","Native American",0,2,0
2011,"DUPLIN","Other",0,10,0
2011,"DUPLIN","White",6.28930817610063,318,2
2011,"DURHAM","Black",13.0813953488372,1376,18
2011,"DURHAM","Hispanic",3.2258064516129,930,3
2011,"DURHAM","Native American",0,10,0
2011,"DURHAM","Other",0,285,0
2011,"DURHAM","White",3.77595972309629,1589,6
2011,"EDGECOMBE","Black",6.8649885583524,437,3
2011,"EDGECOMBE","Hispanic",0,43,0
2011,"EDGECOMBE","Other",0,3,0
2011,"EDGECOMBE","White",18.0722891566265,166,3
2011,"FORSYTH","Black",17.1606864274571,1282,22
2011,"FORSYTH","Hispanic",6.92383778437191,1011,7
2011,"FORSYTH","Native American",0,7,0
2011,"FORSYTH","Other",0,118,0
2011,"FORSYTH","White",7.96999531176746,2133,17
2011,"FRANKLIN","Black",12.7388535031847,157,2
2011,"FRANKLIN","Hispanic",0,85,0
2011,"FRANKLIN","Native American",0,3,0
2011,"FRANKLIN","Other",0,5,0
2011,"FRANKLIN","White",7.44416873449132,403,3
2011,"GASTON","Black",8.35073068893528,479,4
2011,"GASTON","Hispanic",0,268,0
2011,"GASTON","Native American",0,6,0
